EVENT_NAME	STATUS	EVENT_TYPE	EXECUTE_AT	INTERVAL_VALUE	INTERVAL_FIELD	LAST_EXECUTED
grading_comments	PRIMARY	0	1	8
grading_comments	uk_grade_code	0	1	8
grading_scales	PRIMARY	0	1	0
grading_scales	uk_name	0	1	0
group_members	added_by	1	1	0
group_members	PRIMARY	0	1	0
group_members	uk_group_user	0	2	0
group_members	user_id	1	1	0
ieps	fk_iep_approved_by	1	1	0
ieps	fk_iep_created_by	1	1	0
ieps	idx_status	1	1	0
ieps	idx_student_year	1	2	0
ieps	PRIMARY	0	1	0
internal_conversations	created_by	1	1	4
internal_conversations	idx_conversation_type	1	1	2
internal_conversations	idx_last_message	1	1	4
internal_conversations	internal_conversations_ibfk_2	1	1	4
internal_conversations	PRIMARY	0	1	26
internal_messages	idx_conversation	1	1	5
internal_messages	idx_created	1	1	15
internal_messages	idx_message_type	1	1	5
internal_messages	idx_status	1	1	2
internal_messages	PRIMARY	0	1	15
internal_messages	sender_id	1	1	7
inventory_allocations	allocated_by	1	1	0
inventory_allocations	idx_class	1	1	0
inventory_allocations	idx_dates	1	2	0
inventory_allocations	idx_department	1	1	0
inventory_allocations	idx_item_status	1	2	0
inventory_allocations	issued_by	1	1	0
inventory_allocations	PRIMARY	0	1	0
inventory_allocations	uk_allocation_number	0	1	0
inventory_categories	idx_parent	1	1	2
inventory_categories	idx_status	1	1	2
inventory_categories	PRIMARY	0	1	10
inventory_categories	uk_code	0	1	10
inventory_counts	counted_by	1	1	0
inventory_counts	idx_status_date	1	2	0
inventory_counts	PRIMARY	0	1	0
inventory_counts	verified_by	1	1	0
inventory_count_items	item_id	1	1	0
inventory_count_items	PRIMARY	0	1	0
inventory_count_items	uk_count_item	0	2	0
inventory_departments	department_head_id	1	1	2
inventory_departments	idx_status	1	1	2
inventory_departments	PRIMARY	0	1	5
inventory_departments	uk_code	0	1	5
inventory_items	idx_category	1	1	24
inventory_items	idx_inventory_items_location_id	1	1	2
inventory_items	idx_inventory_items_supplier_id	1	1	2
inventory_items	idx_status	1	1	2
inventory_items	PRIMARY	0	1	24
inventory_items	uk_barcode	0	1	24
inventory_items	uk_code	0	1	24
inventory_items	uk_sku	0	1	24
inventory_locations	idx_inventory_locations_created_at	1	1	2
inventory_locations	idx_inventory_locations_status	1	1	2
inventory_locations	idx_inventory_locations_updated_at	1	1	2
inventory_locations	PRIMARY	0	1	4
inventory_transactions	batch_id	1	1	0
inventory_transactions	idx_inventory_transactions_reference_id	1	1	0
inventory_transactions	idx_item_transaction_date	1	3	0
inventory_transactions	item_id	1	1	0
inventory_transactions	PRIMARY	0	1	0
inventory_transactions	serial_id	1	1	0
item_batches	idx_item_status	1	2	0
item_batches	PRIMARY	0	1	0
item_batches	supplier_id	1	1	0
item_batches	uk_batch_number	0	1	0
item_serials	batch_id	1	1	0
item_serials	idx_item_status	1	2	0
item_serials	PRIMARY	0	1	0
item_serials	uk_serial_number	0	1	0
